contigName	contigLen	totalAvgDepth	Patl_draftAssembly_includesContamination.fasta.mapped.sorted.bam	Patl_draftAssembly_includesContamination.fasta.mapped.sorted.bam-var
NODE_11526_length_810_cov_1.81032	810	7.7803	7.7803	30.0412
NODE_11527_length_810_cov_1.4993	810	7.75606	7.75606	2.79775
NODE_11528_length_810_cov_1.45746	810	7.68939	7.68939	3.35556
NODE_11529_length_810_cov_1.30962	810	5.7697	5.7697	9.7648
NODE_11530_length_810_cov_1.1841	810	6.60909	6.60909	7.08825
NODE_11531_length_810_cov_1.106	810	6.05303	6.05303	2.28702
NODE_11532_length_810_cov_1.07531	810	5.57727	5.57727	4.26565
NODE_11533_length_810_cov_1.04463	810	5.24848	5.24848	4.18096
NODE_11534_length_810_cov_0.974895	810	5.34848	5.34848	9.23501
NODE_11535_length_810_cov_0.913529	810	4.20606	4.20606	1.41726
NODE_11536_length_810_cov_0.822873	810	4.78333	4.78333	7.05311
NODE_11537_length_809_cov_259.987	809	1415.16	1415.16	27351.6
NODE_11538_length_809_cov_127.617	809	483.498	483.498	35522.8
NODE_11539_length_809_cov_3.09777	809	18.2716	18.2716	31.6327
NODE_11540_length_809_cov_1.65363	809	6.43703	6.43703	20.8513
NODE_11541_length_809_cov_1.56983	809	6.00607	6.00607	12.9209
NODE_11542_length_809_cov_1.43855	809	5.10167	5.10167	5.06108
NODE_11543_length_809_cov_1.29888	809	7.38695	7.38695	11.502
NODE_11544_length_809_cov_0.863128	809	4.74507	4.74507	2.6644
NODE_11545_length_809_cov_0.817039	809	5.46131	5.46131	5.44648
NODE_11546_length_809_cov_0.717877	809	4.01973	4.01973	4.54216
NODE_11547_length_809_cov_0.717877	809	4.62671	4.62671	3.46836
NODE_11548_length_809_cov_0.699721	809	3.0258	3.0258	2.03732
NODE_11549_length_809_cov_0.599162	809	4.52959	4.52959	3.36501
NODE_11550_length_808_cov_57.2909	808	299.947	299.947	2195.76
NODE_11551_length_808_cov_2.55105	808	12.5061	12.5061	21.1514
NODE_11552_length_808_cov_1.58462	808	7.87842	7.87842	3.58338
NODE_11553_length_808_cov_1.55245	808	7.93009	7.93009	4.04686
NODE_11554_length_808_cov_1.36783	808	7.83435	7.83435	14.1841
NODE_11555_length_808_cov_1.19441	808	5.69149	5.69149	9.15737
NODE_11556_length_808_cov_0.965035	808	4.65501	4.65501	3.06346
NODE_11557_length_808_cov_0.924476	808	4.88146	4.88146	0.923518
NODE_11558_length_808_cov_0.848951	808	5	5	3.54338
NODE_11559_length_808_cov_0.844755	808	5.08663	5.08663	3.1386
NODE_11560_length_808_cov_0.839161	808	5.99696	5.99696	4.828
NODE_11561_length_808_cov_0.839161	808	3.53799	3.53799	3.77405
NODE_11562_length_808_cov_0.833566	808	4.43313	4.43313	3.48791
NODE_11563_length_808_cov_0.80979	808	4.14742	4.14742	2.81689
NODE_11564_length_808_cov_0.717483	808	3.85106	3.85106	3.08586
NODE_11565_length_808_cov_0.716084	808	3.78875	3.78875	2.7544
NODE_11566_length_808_cov_0.640559	808	4.37234	4.37234	2.11838
NODE_11567_length_808_cov_0.565035	808	3.34802	3.34802	6.69912
NODE_11568_length_807_cov_2.21008	807	11.2633	11.2633	12.5205
NODE_11569_length_807_cov_2.12325	807	9.35312	9.35312	4.03975
NODE_11570_length_807_cov_1.44398	807	8.12785	8.12785	15.7702
NODE_11571_length_807_cov_1.27311	807	6.25419	6.25419	12.635
NODE_11572_length_807_cov_1.2563	807	6.96499	6.96499	5.35395
NODE_11573_length_807_cov_0.855742	807	5.20396	5.20396	6.39126
NODE_11574_length_807_cov_0.809524	807	5.0274	5.0274	3.58156
NODE_11575_length_807_cov_0.780112	807	4.80517	4.80517	6.77292
NODE_11576_length_807_cov_0.753501	807	4.88128	4.88128	3.5804
NODE_11577_length_807_cov_0.694678	807	3.26941	3.26941	1.98677
NODE_11578_length_807_cov_0.686275	807	4.14307	4.14307	1.34535
NODE_11579_length_807_cov_0.67507	807	3.62405	3.62405	1.53986
NODE_11580_length_807_cov_0.557423	807	3.38965	3.38965	1.88759
NODE_11581_length_807_cov_0.533613	807	2.20091	2.20091	2.47177
NODE_11582_length_806_cov_31.0982	806	191.7	191.7	1292.33
NODE_11583_length_806_cov_1.23001	806	8.89024	8.89024	8.43068
NODE_11584_length_806_cov_1.08836	806	6.21494	6.21494	16.795
NODE_11585_length_806_cov_0.991585	806	4.86738	4.86738	5.16252
NODE_11586_length_806_cov_0.984572	806	5.78963	5.78963	8.13279
NODE_11587_length_806_cov_0.892006	806	5.47713	5.47713	2.10634
NODE_11588_length_806_cov_0.789621	806	5.08689	5.08689	5.07182
NODE_11589_length_806_cov_0.781206	806	3.96951	3.96951	1.94411
NODE_11590_length_806_cov_0.73913	806	5.33079	5.33079	10.8996
NODE_11591_length_806_cov_0.712482	806	6.47409	6.47409	5.01002
NODE_11592_length_806_cov_0.71108	806	4.29573	4.29573	3.42996
NODE_11593_length_806_cov_0.666199	806	5.15854	5.15854	3.07712
NODE_11594_length_805_cov_1.92135	805	9.94199	9.94199	8.50429
NODE_11595_length_805_cov_1.88624	805	11.0977	11.0977	6.54703
NODE_11596_length_805_cov_1.78371	805	11.6489	11.6489	5.59516
NODE_11597_length_805_cov_1.38343	805	7.83969	7.83969	10.1929
NODE_11598_length_805_cov_1.03511	805	6.68855	6.68855	3.43803
NODE_11599_length_805_cov_0.955056	805	5.03511	5.03511	6.90854
NODE_11600_length_805_cov_0.932584	805	6.36489	6.36489	3.61436
NODE_11601_length_805_cov_0.889045	805	5.65496	5.65496	2.73091
NODE_11602_length_805_cov_0.865169	805	4.88855	4.88855	2.06251
NODE_11603_length_805_cov_0.84691	805	3.8229	3.8229	6.45787
NODE_11604_length_805_cov_0.754213	805	3.61985	3.61985	1.74976
NODE_11605_length_805_cov_0.720506	805	2.96794	2.96794	1.0005
NODE_11606_length_805_cov_0.608146	805	3.19389	3.19389	5.64583
NODE_11607_length_805_cov_0.589888	805	2.46718	2.46718	0.555113
NODE_11608_length_805_cov_0.405899	805	1.78473	1.78473	0.346555
NODE_11609_length_804_cov_197.12	804	1723.94	1723.94	1.29739e+06
NODE_11610_length_804_cov_1.74684	804	10.0352	10.0352	15.55
NODE_11611_length_804_cov_1.73558	804	8.75688	8.75688	7.12458
NODE_11612_length_804_cov_1.68776	804	9.53976	9.53976	5.8292
NODE_11613_length_804_cov_1.56118	804	7.1529	7.1529	4.99956
NODE_11614_length_804_cov_1.35724	804	7.15749	7.15749	5.50809
NODE_11615_length_804_cov_1.27707	804	7.57798	7.57798	11.111
NODE_11616_length_804_cov_1.19409	804	5.92661	5.92661	4.9502
NODE_11617_length_804_cov_0.947961	804	4.59021	4.59021	9.60206
NODE_11618_length_804_cov_0.905767	804	4.49083	4.49083	4.78935
NODE_11619_length_804_cov_0.895921	804	3.3104	3.3104	1.56508
NODE_11620_length_804_cov_0.867792	804	3.92202	3.92202	4.40279
NODE_11621_length_804_cov_0.862166	804	4.38838	4.38838	3.07404
NODE_11622_length_804_cov_0.83685	804	4.8211	4.8211	2.24819
NODE_11623_length_804_cov_0.790436	804	3.09786	3.09786	6.64277
NODE_11624_length_804_cov_0.773558	804	5.50612	5.50612	3.80929
NODE_11625_length_804_cov_0.731364	804	4.14679	4.14679	1.49756
NODE_11626_length_804_cov_0.729958	804	3.89144	3.89144	3.34348
NODE_11627_length_804_cov_0.718706	804	3.35321	3.35321	2.04197
NODE_11628_length_804_cov_0.618847	804	4.4893	4.4893	1.16911
NODE_11629_length_804_cov_0.586498	804	3.0581	3.0581	4.32436
NODE_11630_length_804_cov_0.575246	804	2.70489	2.70489	2.25732
NODE_11631_length_804_cov_0.572433	804	2.42508	2.42508	3.28304
NODE_11632_length_804_cov_0.559775	804	2.11468	2.11468	0.646862
NODE_11633_length_804_cov_0.551336	804	2.50306	2.50306	0.645474
NODE_11634_length_804_cov_0.544304	804	3.0948	3.0948	1.68166
NODE_11635_length_804_cov_0.43038	804	3.2156	3.2156	2.16631
NODE_11636_length_803_cov_2.90563	803	13.8652	13.8652	6.96646
NODE_11637_length_803_cov_2.18732	803	10.8943	10.8943	19.6529
NODE_11638_length_803_cov_2.02676	803	8.42573	8.42573	3.96879
NODE_11639_length_803_cov_1.39577	803	7.21746	7.21746	19.1674
NODE_11640_length_803_cov_1.25915	803	6.47473	6.47473	7.72522
NODE_11641_length_803_cov_1.11127	803	6.78101	6.78101	5.26634
NODE_11642_length_803_cov_1.09155	803	5.3951	5.3951	2.02464
NODE_11643_length_803_cov_0.988732	803	6.05666	6.05666	5.74678
NODE_11644_length_803_cov_0.933803	803	5.24655	5.24655	6.85781
NODE_11645_length_803_cov_0.9	803	4.73966	4.73966	2.79715
NODE_11646_length_803_cov_0.849296	803	3.93109	3.93109	1.44157
NODE_11647_length_803_cov_0.807042	803	4.14855	4.14855	2.21564
NODE_11648_length_803_cov_0.804225	803	3.97856	3.97856	2.84309
NODE_11649_length_803_cov_0.802817	803	3.75498	3.75498	1.12699
NODE_11650_length_803_cov_0.759155	803	6.34456	6.34456	5.93172
NODE_11651_length_803_cov_0.750704	803	3.26646	3.26646	2.64974
NODE_11652_length_803_cov_0.73662	803	3.99387	3.99387	2.76071
NODE_11653_length_803_cov_0.705634	803	3.67534	3.67534	8.00176
NODE_11654_length_803_cov_0.671831	803	2.89127	2.89127	3.33019
NODE_11655_length_803_cov_0.661972	803	4.20214	4.20214	5.99585
NODE_11656_length_803_cov_0.61831	803	3.24349	3.24349	5.1446
NODE_11657_length_803_cov_0.570423	803	2.8928	2.8928	1.59279
NODE_11658_length_803_cov_0.538028	803	3.366	3.366	5.52689
NODE_11659_length_802_cov_224.441	802	1029.92	1029.92	332346
NODE_11660_length_802_cov_2.14245	802	10.6503	10.6503	4.58107
NODE_11661_length_802_cov_2.06911	802	11.5322	11.5322	14.7163
NODE_11662_length_802_cov_1.82652	802	11.6518	11.6518	13.5053
NODE_11663_length_802_cov_1.6615	802	8.57362	8.57362	4.58904
NODE_11664_length_802_cov_1.58956	802	7.19479	7.19479	4.43973
NODE_11665_length_802_cov_1.28632	802	6.84816	6.84816	4.67584
NODE_11666_length_802_cov_1.1763	802	5.43098	5.43098	3.71719
NODE_11667_length_802_cov_1	802	4.7546	4.7546	3.87517
NODE_11668_length_802_cov_0.990127	802	5.32209	5.32209	7.63188
NODE_11669_length_802_cov_0.808181	802	5.69018	5.69018	6.26637
NODE_11670_length_802_cov_0.781382	802	4.34202	4.34202	2.13322
NODE_11671_length_802_cov_0.77574	802	4.27301	4.27301	2.0636
NODE_11672_length_802_cov_0.750353	802	4.46779	4.46779	6.03122
NODE_11673_length_802_cov_0.733427	802	4.30982	4.30982	2.32475
NODE_11674_length_802_cov_0.726375	802	3.06902	3.06902	2.71566
NODE_11675_length_802_cov_0.636107	802	2.93865	2.93865	2.43862
NODE_11676_length_802_cov_0.559944	802	2.32669	2.32669	3.10202
NODE_11677_length_802_cov_0.559944	802	3.42178	3.42178	3.71583
NODE_11678_length_802_cov_0.437236	802	2.60736	2.60736	0.966955
NODE_11679_length_801_cov_143.808	801	713.81	713.81	36326.9
NODE_11680_length_801_cov_1.91243	801	15.9217	15.9217	26.2847
NODE_11681_length_801_cov_1.33192	801	7.6129	7.6129	7.76686
NODE_11682_length_801_cov_1.18079	801	6.75422	6.75422	5.97951
NODE_11683_length_801_cov_1.03672	801	6.33487	6.33487	10.8323
NODE_11684_length_801_cov_1.00424	801	5.98003	5.98003	2.18575
NODE_11685_length_801_cov_0.988701	801	4.67435	4.67435	4.73686
NODE_11686_length_801_cov_0.927966	801	5.29493	5.29493	4.72517
NODE_11687_length_801_cov_0.868644	801	4.99232	4.99232	3.82609
NODE_11688_length_801_cov_0.830508	801	4.447	4.447	4.02912
NODE_11689_length_801_cov_0.822034	801	4.48234	4.48234	1.47469
NODE_11690_length_801_cov_0.806497	801	4.46851	4.46851	2.87092
NODE_11691_length_801_cov_0.745763	801	3.32873	3.32873	0.627159
NODE_11692_length_801_cov_0.65113	801	2.85253	2.85253	1.24283
NODE_11693_length_801_cov_0.580508	801	2.44393	2.44393	1.09339
NODE_11694_length_801_cov_0.573446	801	2.47158	2.47158	2.72342
NODE_11695_length_801_cov_0.524011	801	2.85407	2.85407	1.72483
NODE_11696_length_800_cov_2.23197	800	9.64	9.64	11.2569
NODE_11697_length_800_cov_2.22207	800	9.59077	9.59077	42.1527
NODE_11698_length_800_cov_1.8628	800	9.66	9.66	18.0645
NODE_11699_length_800_cov_1.63366	800	7.93077	7.93077	9.59305
NODE_11700_length_800_cov_1.50071	800	6.38615	6.38615	5.92924
NODE_11701_length_800_cov_1.38614	800	8.12615	8.12615	9.87315
NODE_11702_length_800_cov_1.25318	800	7.91692	7.91692	4.37829
NODE_11703_length_800_cov_1.22348	800	5.4	5.4	5.9168
NODE_11704_length_800_cov_1.05658	800	6.99846	6.99846	1.89676
NODE_11705_length_800_cov_0.971711	800	5.17692	5.17692	4.13352
NODE_11706_length_800_cov_0.868458	800	4.93385	4.93385	6.35773
NODE_11707_length_800_cov_0.806223	800	4.3	4.3	10.9499
NODE_11708_length_800_cov_0.80198	800	3.71846	3.71846	1.71877
NODE_11709_length_800_cov_0.724187	800	3.9	3.9	2.29045
NODE_11710_length_800_cov_0.695898	800	4.25385	4.25385	1.60728
NODE_11711_length_800_cov_0.596888	800	3.44769	3.44769	2.91021
NODE_11712_length_799_cov_32.1501	799	176.334	176.334	794.291
NODE_11713_length_799_cov_6.77195	799	39.3498	39.3498	103.009
NODE_11714_length_799_cov_1.51841	799	7.81664	7.81664	17.0821
NODE_11715_length_799_cov_1.39235	799	6.95223	6.95223	7.9622
NODE_11716_length_799_cov_1.33994	799	7.24653	7.24653	9.41136
NODE_11717_length_799_cov_1.26346	799	7.00924	7.00924	10.2406
NODE_11718_length_799_cov_1.22805	799	6.00462	6.00462	8.10029
NODE_11719_length_799_cov_1.03824	799	7.91217	7.91217	13.1574
NODE_11720_length_799_cov_0.963173	799	5.97843	5.97843	7.45017
NODE_11721_length_799_cov_0.922096	799	4.88752	4.88752	1.14628
NODE_11722_length_799_cov_0.811615	799	4.10478	4.10478	5.36555
NODE_11723_length_799_cov_0.754958	799	5.02619	5.02619	8.32185
NODE_11724_length_799_cov_0.743626	799	5.13097	5.13097	5.42261
NODE_11725_length_799_cov_0.677054	799	4.87211	4.87211	4.37097
NODE_11726_length_799_cov_0.660057	799	3.93683	3.93683	4.97287
NODE_11727_length_799_cov_0.652975	799	2.7319	2.7319	3.41566
NODE_11728_length_799_cov_0.647309	799	4.11094	4.11094	1.26545
NODE_11729_length_798_cov_1.42695	798	6.67747	6.67747	1.94682
NODE_11730_length_798_cov_1.22411	798	7.55401	7.55401	5.28613
NODE_11731_length_798_cov_1.14468	798	6.83951	6.83951	3.39924
NODE_11732_length_798_cov_1.1234	798	5.33179	5.33179	4.17878
NODE_11733_length_798_cov_0.853901	798	4.08488	4.08488	4.20455
NODE_11734_length_798_cov_0.746099	798	3.6142	3.6142	2.38878
NODE_11735_length_798_cov_0.668085	798	3.29784	3.29784	1.62831
NODE_11736_length_798_cov_0.601418	798	2.93673	2.93673	2.66833
NODE_11737_length_798_cov_0.6	798	2.99383	2.99383	1.20553
NODE_11738_length_798_cov_0.480851	798	2.15432	2.15432	0.504742
NODE_11739_length_798_cov_0.438298	798	1.83179	1.83179	1.90829
NODE_11740_length_797_cov_2.62358	797	10.1437	10.1437	12.1666
NODE_11741_length_797_cov_1.97443	797	8.69397	8.69397	24.7669
NODE_11742_length_797_cov_1.4929	797	8.78207	8.78207	14.4246
NODE_11743_length_797_cov_0.992898	797	5.2442	5.2442	2.74831
NODE_11744_length_797_cov_0.920455	797	4.74034	4.74034	7.91083
NODE_11745_length_797_cov_0.913352	797	4.22411	4.22411	3.06578
NODE_11746_length_797_cov_0.883523	797	3.58269	3.58269	6.76987
NODE_11747_length_797_cov_0.830966	797	5.02318	5.02318	4.70378
NODE_11748_length_797_cov_0.818182	797	5.87172	5.87172	6.62596
NODE_11749_length_797_cov_0.741477	797	3.32767	3.32767	4.29495
NODE_11750_length_797_cov_0.728693	797	4.29212	4.29212	5.19471
NODE_11751_length_797_cov_0.710227	797	4.7558	4.7558	3.60592
NODE_11752_length_797_cov_0.639205	797	3.29521	3.29521	3.4994
NODE_11753_length_796_cov_2.22333	796	13.5046	13.5046	12.9884
NODE_11754_length_796_cov_1.19203	796	6.44427	6.44427	4.83332
NODE_11755_length_796_cov_1.1835	796	7.3065	7.3065	7.12452
NODE_11756_length_796_cov_1.07112	796	5.45975	5.45975	3.16661
NODE_11757_length_796_cov_0.981508	796	5.58204	5.58204	3.53977
NODE_11758_length_796_cov_0.941679	796	4.58669	4.58669	3.45218
NODE_11759_length_796_cov_0.894737	796	4.69505	4.69505	2.13476
NODE_11760_length_796_cov_0.886202	796	4.28328	4.28328	1.96769
NODE_11761_length_796_cov_0.72404	796	3.59443	3.59443	3.18718
NODE_11762_length_796_cov_0.688478	796	4.98452	4.98452	6.47729
NODE_11763_length_796_cov_0.628734	796	3.11765	3.11765	4.29309
NODE_11764_length_796_cov_0.620199	796	3.12694	3.12694	3.41952
NODE_11765_length_796_cov_0.452347	796	2.82198	2.82198	5.16361
NODE_11766_length_795_cov_1.51852	795	5.43566	5.43566	2.54749
NODE_11767_length_795_cov_1.31054	795	6.95349	6.95349	5.43575
NODE_11768_length_795_cov_1.02564	795	5.56589	5.56589	4.32367
NODE_11769_length_795_cov_0.920228	795	5.93643	5.93643	1.90744
NODE_11770_length_795_cov_0.803419	795	4.36744	4.36744	2.17378
NODE_11771_length_795_cov_0.793447	795	3.41705	3.41705	7.43292
NODE_11772_length_795_cov_0.789174	795	3.48992	3.48992	1.88072
NODE_11773_length_795_cov_0.786325	795	5.03411	5.03411	3.73797
NODE_11774_length_795_cov_0.636752	795	3.71318	3.71318	4.71108
NODE_11775_length_795_cov_0.632479	795	4.53488	4.53488	3.50073
NODE_11776_length_795_cov_0.623932	795	2.62636	2.62636	2.06359
NODE_11777_length_795_cov_0.609687	795	2.91318	2.91318	4.55766
NODE_11778_length_795_cov_0.509972	795	2.57209	2.57209	0.984315
NODE_11779_length_794_cov_129.107	794	554.099	554.099	41249.1
NODE_11780_length_794_cov_2.03566	794	9.62733	9.62733	9.30724
NODE_11781_length_794_cov_1.4622	794	6.1677	6.1677	3.69812
NODE_11782_length_794_cov_1.28245	794	6.32298	6.32298	3.11791
NODE_11783_length_794_cov_1.21398	794	5.38354	5.38354	7.96307
NODE_11784_length_794_cov_1.03994	794	5.99068	5.99068	3.93148
NODE_11785_length_794_cov_0.992867	794	4.69876	4.69876	7.27455
NODE_11786_length_794_cov_0.985735	794	5.93634	5.93634	3.81086
NODE_11787_length_794_cov_0.952924	794	4.32764	4.32764	1.79761
NODE_11788_length_794_cov_0.910128	794	4.28106	4.28106	3.36567
NODE_11789_length_794_cov_0.910128	794	5.19565	5.19565	2.43444
NODE_11790_length_794_cov_0.898716	794	5.43012	5.43012	2.70584
NODE_11791_length_794_cov_0.895863	794	4.31211	4.31211	6.72513
NODE_11792_length_794_cov_0.811698	794	4.6118	4.6118	7.5505
NODE_11793_length_794_cov_0.787447	794	4.29348	4.29348	2.97283
NODE_11794_length_794_cov_0.776034	794	4.21429	4.21429	2.90579
NODE_11795_length_794_cov_0.771755	794	3.26398	3.26398	2.68605
NODE_11796_length_794_cov_0.756063	794	4.20652	4.20652	3.66958
NODE_11797_length_794_cov_0.731812	794	5.75466	5.75466	3.85264
NODE_11798_length_794_cov_0.656205	794	2.94099	2.94099	3.11005
NODE_11799_length_794_cov_0.611983	794	2.88199	2.88199	4.3531
NODE_11800_length_794_cov_0.586305	794	3.04969	3.04969	3.86378
NODE_11801_length_793_cov_1.73857	793	10.2597	10.2597	10.9215
NODE_11802_length_793_cov_1.32143	793	5.8196	5.8196	7.69328
NODE_11803_length_793_cov_1.23429	793	8.08709	8.08709	14.1824
NODE_11804_length_793_cov_1.09	793	5.38258	5.38258	4.35498
NODE_11805_length_793_cov_1.03143	793	4.96734	4.96734	2.76373
NODE_11806_length_793_cov_1.02857	793	5.95334	5.95334	4.98847
NODE_11807_length_793_cov_1.00857	793	6.35303	6.35303	9.73647
NODE_11808_length_793_cov_0.957143	793	5.33904	5.33904	4.57335
NODE_11809_length_793_cov_0.934286	793	5.90513	5.90513	4.0206
NODE_11810_length_793_cov_0.841429	793	4.79005	4.79005	4.76115
NODE_11811_length_793_cov_0.805714	793	4.39658	4.39658	3.60727
NODE_11812_length_793_cov_0.751429	793	3.53499	3.53499	1.80991
NODE_11813_length_793_cov_0.694286	793	4.41058	4.41058	1.91216
NODE_11814_length_793_cov_0.672857	793	4.02644	4.02644	3.2127
NODE_11815_length_793_cov_0.615714	793	3.11975	3.11975	3.118
NODE_11816_length_792_cov_1.103	792	5.16511	5.16511	5.50157
NODE_11817_length_792_cov_1.01431	792	5.94548	5.94548	9.76453
NODE_11818_length_792_cov_0.971388	792	4.32399	4.32399	2.65306
NODE_11819_length_792_cov_0.866953	792	4.22118	4.22118	7.80745
NODE_11820_length_792_cov_0.856938	792	4.43302	4.43302	2.05245
NODE_11821_length_792_cov_0.832618	792	4.46729	4.46729	2.7891
NODE_11822_length_792_cov_0.67525	792	3.01246	3.01246	1.54743
NODE_11823_length_792_cov_0.618026	792	3.47196	3.47196	1.7535
NODE_11824_length_792_cov_0.527897	792	4.05452	4.05452	2.38861
NODE_11825_length_792_cov_0.440629	792	3.83489	3.83489	5.08348
NODE_11826_length_791_cov_26.1977	791	176.635	176.635	848.367
NODE_11827_length_791_cov_1.7063	791	8.07644	8.07644	7.03321
NODE_11828_length_791_cov_1.62607	791	8.80967	8.80967	6.89808
NODE_11829_length_791_cov_1.02722	791	4.08268	4.08268	3.00721
NODE_11830_length_791_cov_0.991404	791	4.50078	4.50078	3.11289
NODE_11831_length_791_cov_0.988539	791	5.38534	5.38534	2.73096
NODE_11832_length_791_cov_0.988539	791	5.64899	5.64899	12.7157
NODE_11833_length_791_cov_0.971347	791	5.70983	5.70983	10.1501
NODE_11834_length_791_cov_0.769341	791	5.9454	5.9454	13.4611
NODE_11835_length_791_cov_0.752149	791	3.12793	3.12793	2.52736
NODE_11836_length_791_cov_0.716332	791	3.34321	3.34321	3.19139
NODE_11837_length_791_cov_0.670487	791	3.56318	3.56318	3.43704
NODE_11838_length_791_cov_0.637536	791	3.6209	3.6209	4.18888
NODE_11839_length_791_cov_0.633238	791	3.73947	3.73947	1.3992
NODE_11840_length_791_cov_0.620344	791	3.90328	3.90328	10.9125
NODE_11841_length_791_cov_0.613181	791	2.51014	2.51014	2.56278
NODE_11842_length_791_cov_0.591691	791	3.56006	3.56006	1.87804
NODE_11843_length_791_cov_0.497135	791	2.9298	2.9298	2.781
NODE_11844_length_790_cov_2.90674	790	11.9797	11.9797	30.3955
NODE_11845_length_790_cov_1.1406	790	7.0375	7.0375	8.55571
NODE_11846_length_790_cov_1.11908	790	6.20312	6.20312	1.63004
NODE_11847_length_790_cov_1.02726	790	4.43594	4.43594	4.10857
NODE_11848_length_790_cov_1.01148	790	4.17969	4.17969	6.15697
NODE_11849_length_790_cov_0.965567	790	4.42031	4.42031	3.47408
NODE_11850_length_790_cov_0.87231	790	4.90469	4.90469	1.53863
NODE_11851_length_790_cov_0.826399	790	5.47813	5.47813	2.78826
NODE_11852_length_790_cov_0.804878	790	3.53594	3.53594	3.82969
NODE_11853_length_790_cov_0.747489	790	4.40156	4.40156	3.16713
NODE_11854_length_790_cov_0.715925	790	4.64844	4.64844	1.8715
NODE_11855_length_790_cov_0.624103	790	3.51562	3.51562	0.697721
NODE_11856_length_789_cov_1.86782	789	10.8983	10.8983	8.52412
NODE_11857_length_789_cov_1.13937	789	4.40063	4.40063	4.04614
NODE_11858_length_789_cov_1.08764	789	6.54147	6.54147	8.93834
NODE_11859_length_789_cov_1.07184	789	6.05634	6.05634	4.32285
NODE_11860_length_789_cov_0.900862	789	6.08764	6.08764	5.65371
NODE_11861_length_789_cov_0.867816	789	4.33959	4.33959	1.92055
NODE_11862_length_789_cov_0.807471	789	4.80438	4.80438	2.35507
NODE_11863_length_789_cov_0.793103	789	4.3036	4.3036	1.88887
NODE_11864_length_789_cov_0.758621	789	3.48357	3.48357	3.41313
NODE_11865_length_789_cov_0.689655	789	2.99531	2.99531	2.41533
NODE_11866_length_789_cov_0.645115	789	4.17527	4.17527	2.17926
NODE_11867_length_788_cov_127.348	788	344.934	344.934	18172.5
NODE_11868_length_788_cov_1.74532	788	7.07053	7.07053	7.03898
NODE_11869_length_788_cov_1.63309	788	6.02508	6.02508	3.64457
NODE_11870_length_788_cov_1.45612	788	9.26959	9.26959	3.80472
NODE_11871_length_788_cov_1.43022	788	6.18339	6.18339	2.38547
NODE_11872_length_788_cov_1.32374	788	8.14107	8.14107	5.17003
NODE_11873_length_788_cov_1.01727	788	5.30721	5.30721	1.87094
NODE_11874_length_788_cov_0.955396	788	3.94828	3.94828	2.74614
NODE_11875_length_788_cov_0.928058	788	4.86991	4.86991	2.57802
NODE_11876_length_788_cov_0.900719	788	4.43887	4.43887	1.44289
NODE_11877_length_788_cov_0.841727	788	5.11912	5.11912	1.5211
NODE_11878_length_788_cov_0.797122	788	4.83856	4.83856	4.99275
NODE_11879_length_788_cov_0.781295	788	4.05956	4.05956	3.75158
NODE_11880_length_788_cov_0.68777	788	4.05486	4.05486	3.5276
NODE_11881_length_788_cov_0.679137	788	2.69279	2.69279	1.31207
NODE_11882_length_788_cov_0.451799	788	1.80878	1.80878	1.30089
NODE_11883_length_787_cov_187.592	787	1012.53	1012.53	53178
NODE_11884_length_787_cov_2.6196	787	10.7002	10.7002	4.33606
NODE_11885_length_787_cov_2.22767	787	9.07064	9.07064	16.679
NODE_11886_length_787_cov_1.08646	787	5.33438	5.33438	7.0531
NODE_11887_length_787_cov_1.0634	787	6.42543	6.42543	6.53413
NODE_11888_length_787_cov_0.981268	787	5.39874	5.39874	2.99168
NODE_11889_length_787_cov_0.958213	787	4.26217	4.26217	3.39815
NODE_11890_length_787_cov_0.948127	787	3.9843	3.9843	2.15384
NODE_11891_length_787_cov_0.897695	787	4.80848	4.80848	7.62363
NODE_11892_length_787_cov_0.878963	787	5.21978	5.21978	3.06484
NODE_11893_length_787_cov_0.851585	787	3.57457	3.57457	2.00897
NODE_11894_length_787_cov_0.75072	787	5.05024	5.05024	3.87483
NODE_11895_length_787_cov_0.727666	787	3.3124	3.3124	1.82206
NODE_11896_length_787_cov_0.416427	787	3.36264	3.36264	3.81325
NODE_11897_length_786_cov_1.83838	786	9.44025	9.44025	20.3255
NODE_11898_length_786_cov_1.19336	786	7.00786	7.00786	8.60626
NODE_11899_length_786_cov_1.05195	786	4.71069	4.71069	5.1225
NODE_11900_length_786_cov_0.962482	786	4.68396	4.68396	1.97398
NODE_11901_length_786_cov_0.886003	786	4.19182	4.19182	3.8277
NODE_11902_length_786_cov_0.851371	786	5.68239	5.68239	6.76199
NODE_11903_length_786_cov_0.819625	786	4.03145	4.03145	2.9439
NODE_11904_length_786_cov_0.813853	786	4.31447	4.31447	2.99072
NODE_11905_length_786_cov_0.761905	786	5.20912	5.20912	8.48379
NODE_11906_length_786_cov_0.675325	786	3.12107	3.12107	2.16957
NODE_11907_length_786_cov_0.598846	786	2.59277	2.59277	1.04178
NODE_11908_length_786_cov_0.483405	786	2.33648	2.33648	3.38581
NODE_11909_length_785_cov_0.965318	785	5.05984	5.05984	3.18253
NODE_11910_length_785_cov_0.958092	785	4.65827	4.65827	2.11175
NODE_11911_length_785_cov_0.91474	785	4.18898	4.18898	4.28598
NODE_11912_length_785_cov_0.91474	785	5.70709	5.70709	2.14751
NODE_11913_length_785_cov_0.868497	785	4.28819	4.28819	3.35057
